# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9403734e+09	8.2338943e-02	-6.9962271e-01
1.9403740e+09	8.2387075e-02	-6.9963450e-01
1.9403746e+09	8.1984970e-02	-6.9971408e-01
1.9403752e+09	8.1695997e-02	-6.9969585e-01
1.9403758e+09	8.1634239e-02	-6.9953227e-01
1.9403764e+09	8.1165344e-02	-6.9960994e-01
1.9403770e+09	8.0904151e-02	-6.9962523e-01
1.9403776e+09	8.0638548e-02	-6.9965658e-01
1.9403782e+09	8.0439140e-02	-6.9969700e-01
1.9403788e+09	8.0388829e-02	-6.9977974e-01
1.9403794e+09	8.0308118e-02	-6.9966861e-01
1.9403800e+09	7.9961372e-02	-6.9976408e-01
1.9403806e+09	7.9619068e-02	-6.9975864e-01
1.9403812e+09	7.9080910e-02	-6.9966666e-01
1.9403818e+09	7.9078638e-02	-6.9951317e-01
1.9403824e+09	7.8638552e-02	-6.9974610e-01
1.9403830e+09	7.8504120e-02	-6.9962714e-01
1.9403836e+09	7.8161333e-02	-6.9988843e-01
1.9403842e+09	7.7980547e-02	-6.9957843e-01
1.9403848e+09	7.7908084e-02	-6.9987749e-01
1.9403854e+09	7.7609650e-02	-6.9986857e-01
1.9403860e+09	7.7384136e-02	-6.9986949e-01
1.9403866e+09	7.7145743e-02	-6.9983113e-01
1.9403872e+09	7.6984652e-02	-7.0002550e-01
1.9403878e+09	7.6562161e-02	-6.9975059e-01
1.9403884e+09	7.6698897e-02	-6.9992727e-01
1.9403890e+09	7.6229726e-02	-6.9985035e-01
1.9403896e+09	7.6068362e-02	-6.9979108e-01
1.9403902e+09	7.5450472e-02	-6.9970392e-01
1.9403908e+09	7.5657740e-02	-7.0008630e-01
1.9403914e+09	7.5247105e-02	-6.9982832e-01
1.9403920e+09	7.4831113e-02	-6.9998253e-01
1.9403926e+09	7.4933668e-02	-6.9992754e-01
1.9403932e+09	7.4484793e-02	-7.0007650e-01
1.9403938e+09	7.3956443e-02	-7.0001178e-01
1.9403944e+09	7.4027451e-02	-7.0007602e-01
1.9403950e+09	7.3573323e-02	-6.9981660e-01
1.9403956e+09	7.3771284e-02	-7.0014564e-01
1.9403962e+09	7.3450764e-02	-7.0001568e-01
1.9403968e+09	7.3006721e-02	-6.9991582e-01
1.9403974e+09	7.2874001e-02	-7.0001074e-01
1.9403980e+09	7.2539948e-02	-7.0009996e-01
1.9403986e+09	7.2385480e-02	-7.0023576e-01
1.9403992e+09	7.2310531e-02	-6.9999180e-01
1.9403998e+09	7.1834607e-02	-7.0009669e-01
1.9404004e+09	7.1354604e-02	-6.9997962e-01
1.9404010e+09	7.1139923e-02	-7.0013368e-01
1.9404016e+09	7.0993990e-02	-7.0008206e-01
1.9404022e+09	7.1013076e-02	-7.0004069e-01
1.9404028e+09	7.1030658e-02	-7.0034798e-01
1.9404034e+09	7.0446865e-02	-7.0011643e-01
1.9404040e+09	7.0078841e-02	-7.0000138e-01
1.9404046e+09	6.9890102e-02	-6.9996435e-01
1.9404052e+09	6.9598136e-02	-7.0015546e-01
1.9404058e+09	6.9581412e-02	-7.0016396e-01
1.9404064e+09	6.9187000e-02	-7.0027273e-01
1.9404070e+09	6.8955965e-02	-7.0012583e-01
1.9404076e+09	6.8503359e-02	-7.0005741e-01
1.9404082e+09	6.8606936e-02	-7.0014165e-01
1.9404088e+09	6.8297315e-02	-7.0005837e-01
1.9404094e+09	6.8077587e-02	-7.0014646e-01
1.9404100e+09	6.7872277e-02	-7.0031578e-01
1.9404106e+09	6.7413553e-02	-7.0007902e-01
1.9404112e+09	6.7124411e-02	-7.0013776e-01
1.9404118e+09	6.6729257e-02	-7.0027834e-01
1.9404124e+09	6.6832915e-02	-7.0014441e-01
1.9404130e+09	6.6462338e-02	-7.0021673e-01
1.9404136e+09	6.6496816e-02	-7.0033672e-01
1.9404142e+09	6.6095439e-02	-7.0025614e-01
1.9404148e+09	6.5923915e-02	-7.0037990e-01
1.9404154e+09	6.5722245e-02	-7.0039566e-01
1.9404160e+09	6.5626108e-02	-7.0037147e-01
1.9404166e+09	6.4996150e-02	-7.0027086e-01
1.9404172e+09	6.4691734e-02	-7.0026770e-01
1.9404178e+09	6.4958631e-02	-7.0046221e-01
1.9404184e+09	6.4565625e-02	-7.0026508e-01
1.9404190e+09	6.3983954e-02	-7.0001449e-01
1.9404196e+09	6.4116176e-02	-7.0046359e-01
1.9404202e+09	6.3696156e-02	-7.0035993e-01
1.9404208e+09	6.3228497e-02	-7.0032339e-01
1.9404214e+09	6.3117269e-02	-7.0025482e-01
1.9404220e+09	6.2832489e-02	-7.0023492e-01
1.9404226e+09	6.2866276e-02	-7.0036457e-01
1.9404232e+09	6.2509706e-02	-7.0028465e-01
1.9404238e+09	6.2064693e-02	-7.0024631e-01
1.9404244e+09	6.2019304e-02	-7.0042538e-01
1.9404250e+09	6.1439102e-02	-7.0027755e-01
1.9404256e+09	6.1505494e-02	-7.0039477e-01
1.9404262e+09	6.1151213e-02	-7.0029555e-01
1.9404268e+09	6.1187059e-02	-7.0048158e-01
1.9404274e+09	6.0796546e-02	-7.0035249e-01
1.9404280e+09	6.0870815e-02	-7.0046312e-01
1.9404286e+09	6.0511179e-02	-7.0062754e-01
1.9404292e+09	6.0080103e-02	-7.0043024e-01
1.9404298e+09	5.9629567e-02	-7.0031104e-01
1.9404304e+09	5.9817316e-02	-7.0042711e-01
1.9404310e+09	5.9687610e-02	-7.0042371e-01
1.9404316e+09	5.9251463e-02	-7.0064154e-01
1.9404322e+09	5.8920511e-02	-7.0038661e-01
1.9404328e+09	5.8652462e-02	-7.0033709e-01
1.9404334e+09	5.8230473e-02	-7.0031700e-01
1.9404340e+09	5.8102705e-02	-7.0046336e-01
1.9404346e+09	5.7741014e-02	-7.0025218e-01
1.9404352e+09	5.7665358e-02	-7.0015312e-01
1.9404358e+09	5.7692906e-02	-7.0054464e-01
1.9404364e+09	5.7352663e-02	-7.0043310e-01
1.9404370e+09	5.6872819e-02	-7.0054261e-01
1.9404376e+09	5.6771083e-02	-7.0051110e-01
1.9404382e+09	5.6397699e-02	-7.0034711e-01
1.9404388e+09	5.6142459e-02	-7.0072926e-01
1.9404394e+09	5.6371036e-02	-7.0041821e-01
1.9404400e+09	5.5884197e-02	-7.0027548e-01
1.9404406e+09	5.5700948e-02	-7.0049777e-01
1.9404412e+09	5.5228147e-02	-7.0031194e-01
1.9404418e+09	5.5480511e-02	-7.0046578e-01
1.9404424e+09	5.5098315e-02	-7.0060214e-01
1.9404430e+09	5.4548573e-02	-7.0039306e-01
1.9404436e+09	5.4414857e-02	-7.0063198e-01
1.9404442e+09	5.4354301e-02	-7.0051330e-01
1.9404448e+09	5.4159137e-02	-7.0045568e-01
1.9404454e+09	5.3599169e-02	-7.0063477e-01
1.9404460e+09	5.3666323e-02	-7.0038422e-01
1.9404466e+09	5.3430714e-02	-7.0051528e-01
1.9404472e+09	5.2934823e-02	-7.0041374e-01
1.9404478e+09	5.2701953e-02	-7.0037872e-01
1.9404484e+09	5.2203832e-02	-7.0043508e-01
1.9404490e+09	5.2204691e-02	-7.0051358e-01
1.9404496e+09	5.2178424e-02	-7.0053065e-01
1.9404501e+09	5.1673048e-02	-7.0044628e-01
1.9404507e+09	5.1548232e-02	-7.0053790e-01
1.9404513e+09	5.1361411e-02	-7.0044907e-01
1.9404519e+09	5.0803006e-02	-7.0057360e-01
1.9404525e+09	5.0866649e-02	-7.0039798e-01
1.9404531e+09	5.0510396e-02	-7.0046950e-01
